Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8026969481902059,0.6610738255033557,0.5267379679144385,0.5863095238095238,0.8417396471104911
Decision Tree,0.7984386089425124,0.6347305389221557,0.5668449197860963,0.5988700564971752,0.8309747087240693
Random Forest,0.7849538679914834,0.621160409556314,0.48663101604278075,0.545727136431784,0.8235991629853523
